customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
75,William Setty,chaitalyiyer@example.com,+918590575489,"Keer Marg, Adyar, Chennai, Tamil Nadu, India - 835593",2021-03-06,1,Chinese,27,1.94
76,Timothy Iyengar,zsachar@example.org,08103487356,"Ray Path, Mylapore, Chennai, Tamil Nadu, India - 525106",2024-10-18,1,South Indian,16,0.85
77,Bachittar Nayar,kalewahab@example.com,04588295941,"Rama, Perungudi, Chennai, Tamil Nadu, India - 083500",2023-04-02,1,Continental,41,0.19
78,Tanmayi Zacharia,hemanisharma@example.com,1472198650,"Bandi Road, Tambaram, Chennai, Tamil Nadu, India - 241193",2024-10-25,0,Continental,62,3.78
79,Aayush Bhalla,auroraamol@example.net,02555233077,"Jaggi Street, Perungudi, Chennai, Tamil Nadu, India - 796381",2024-09-24,1,Continental,27,4.37
80,Om Apte,balazayyan@example.com,6908762062,"Purohit Path, Kodambakkam, Chennai, Tamil Nadu, India - 505820",2020-08-22,0,Italian,47,4.96
81,Ishita Sami,lohit90@example.net,6332006697,"Batra Ganj, Kodambakkam, Chennai, Tamil Nadu, India - 688072",2023-09-21,0,Chinese,19,0.60
82,Xiti Chaudhuri,abhiram43@example.com,+915943399789,"Das Marg, Perungudi, Chennai, Tamil Nadu, India - 560105",2023-06-13,0,North Indian,81,4.41
83,Meghana Wali,cheriankaran@example.org,09870512804,"Choudhry Circle, Nungambakkam, Chennai, Tamil Nadu, India - 172105",2021-08-15,0,North Indian,81,1.57
84,Ayaan Goda,singhalgaurav@example.org,7032513840,"Bhargava Nagar, Kilpauk, Chennai, Tamil Nadu, India - 012602",2022-03-26,0,South Indian,69,0.73
85,Upkaar Sheth,nandaabhimanyu@example.net,07761116815,"Lanka Zila, Chrompet, Chennai, Tamil Nadu, India - 586695",2023-01-07,1,Continental,26,4.59
86,Varenya Sankar,tripti14@example.org,03301031630,"Chacko Street, Tambaram, Chennai, Tamil Nadu, India - 608792",2023-12-05,1,Chinese,35,4.33
87,Elijah Mukhopadhyay,yashicamanne@example.org,02371993469,"Rau, Perungudi, Chennai, Tamil Nadu, India - 940207",2022-11-30,1,Italian,37,1.02
88,Omisha Srinivasan,oscardhar@example.com,06456188871,"Sodhi Path, Mylapore, Chennai, Tamil Nadu, India - 487409",2023-08-08,1,Continental,68,2.02
89,Ryan Peri,schander@example.com,00293939776,"Bhavsar, Anna Nagar, Chennai, Tamil Nadu, India - 959787",2024-05-03,0,North Indian,31,1.81
90,Aryan Sehgal,ria76@example.com,07832016336,"Ratti Road, Kilpauk, Chennai, Tamil Nadu, India - 003207",2021-01-16,0,North Indian,83,0.50
91,Baghyawati Vohra,rakshadada@example.com,05186817487,"Dhar Street, Nungambakkam, Chennai, Tamil Nadu, India - 201080",2024-09-21,1,North Indian,4,2.10
92,Anjali Dara,ladvarsha@example.org,+918595892613,"Sastry Marg, Anna Nagar, Chennai, Tamil Nadu, India - 492934",2023-02-04,0,South Indian,19,2.79
93,Widisha Vohra,mahaldayamai@example.org,+917201210746,"Kaur Nagar, Adyar, Chennai, Tamil Nadu, India - 483214",2025-01-04,0,Continental,25,0.71
94,Nilima Patil,owable@example.net,4230671418,"Contractor Circle, Guindy, Chennai, Tamil Nadu, India - 674414",2021-06-15,1,South Indian,34,4.15
95,Geetika Khanna,veer82@example.org,08466839629,"Dua Street, Guindy, Chennai, Tamil Nadu, India - 633052",2021-09-09,1,North Indian,1,2.37
96,Garima Tella,nicholasoommen@example.net,+914133543929,"Cherian Street, Mylapore, Chennai, Tamil Nadu, India - 917826",2022-10-25,1,Chinese,3,1.86
97,Ishaan Chaudry,rameshrajata@example.org,03692812633,"Mutti Zila, Chrompet, Chennai, Tamil Nadu, India - 023511",2021-12-21,1,South Indian,1,2.05
98,Eshana Chander,opandit@example.com,8802580687,"Batra Nagar, Kodambakkam, Chennai, Tamil Nadu, India - 868618",2023-06-15,1,South Indian,39,3.52
99,Dalbir Magar,wasonazad@example.org,05403966399,"Varkey Street, Perungudi, Chennai, Tamil Nadu, India - 677012",2020-11-03,1,South Indian,57,0.66
100,Nakul Agarwal,uvenkataraman@example.com,06430955946,"Dhawan Marg, Kodambakkam, Chennai, Tamil Nadu, India - 552274",2023-04-03,0,Continental,80,2.35
101,Atharv Varughese,bhattacharyyaanusha@example.org,1914498431,"Pandit Chowk, T. Nagar, Chennai, Tamil Nadu, India - 989681",2020-05-25,0,Chinese,25,2.30
102,Yash Varkey,ranbirmajumdar@example.org,4098051093,"Sant Ganj, Mylapore, Chennai, Tamil Nadu, India - 458905",2021-08-13,1,South Indian,47,4.92
103,Viraj Sampath,isama@example.net,01680550155,"Parsa Zila, Guindy, Chennai, Tamil Nadu, India - 450243",2022-02-21,1,Continental,86,3.92
104,Qadim Vasa,panchallavanya@example.com,04786310473,"Sur Zila, Nungambakkam, Chennai, Tamil Nadu, India - 881009",2022-01-29,0,Italian,29,4.69
105,Reyansh Oommen,bhagatshaurya@example.net,09838596781,"Narayan Marg, Nungambakkam, Chennai, Tamil Nadu, India - 393682",2023-01-21,1,North Indian,31,4.30
106,Tripti Gara,zcontractor@example.com,5567685851,"Garg Chowk, Nungambakkam, Chennai, Tamil Nadu, India - 483015",2021-05-03,1,South Indian,62,1.81
107,Ekiya Devan,magaranamika@example.org,07213113583,"Verma Marg, Kilpauk, Chennai, Tamil Nadu, India - 325741",2024-02-06,0,South Indian,35,2.58
108,Ojas Kannan,hbava@example.com,01926798789,"Bora Zila, Kodambakkam, Chennai, Tamil Nadu, India - 149704",2021-08-25,1,Italian,73,2.10
109,Advik Sridhar,devangarima@example.net,7164577965,"Kumer Chowk, Guindy, Chennai, Tamil Nadu, India - 229829",2024-01-05,1,South Indian,23,2.31
110,Christopher Morar,jnarasimhan@example.net,5160973780,"Bhasin Marg, Kodambakkam, Chennai, Tamil Nadu, India - 047648",2021-11-04,0,Chinese,89,0.73
111,Ekaraj Krish,xsampath@example.com,+918308730768,"Kamdar Path, Mylapore, Chennai, Tamil Nadu, India - 141145",2025-07-11,0,Continental,3,1.30
112,Yashawini Mall,ayushmanprabhu@example.org,8175943774,"Raja Road, Adyar, Chennai, Tamil Nadu, India - 949350",2021-09-19,1,Continental,47,1.72
113,Nisha Ganguly,hbora@example.org,6768268113,"Singh Road, Chrompet, Chennai, Tamil Nadu, India - 033213",2023-04-07,1,South Indian,0,4.67
114,Hredhaan Vyas,kashyapsara@example.com,04471732565,"Chaudhry Chowk, Kilpauk, Chennai, Tamil Nadu, India - 619940",2023-01-26,0,Continental,11,0.21
115,Eesha Thaman,ypatel@example.org,+910187173261,"Sharma Chowk, T. Nagar, Chennai, Tamil Nadu, India - 685557",2020-01-17,0,South Indian,99,1.63
116,Chandresh Samra,deviyochana@example.org,2723055042,"Thakur Chowk, Velachery, Chennai, Tamil Nadu, India - 933759",2020-04-26,1,Continental,18,2.41
117,Yasti Barman,wgala@example.net,+917152871496,"Salvi Nagar, Guindy, Chennai, Tamil Nadu, India - 486306",2025-04-25,1,South Indian,25,4.43
118,Xavier Natt,xganguly@example.org,+917436086082,"Kapadia, Nungambakkam, Chennai, Tamil Nadu, India - 115941",2023-08-30,1,Chinese,44,2.55
119,Ethan D’Alia,amangal@example.com,+917404251726,"Datta Path, T. Nagar, Chennai, Tamil Nadu, India - 719576",2022-05-06,1,North Indian,71,0.55
120,Ati Vohra,januja82@example.net,+912782384972,"Chad Street, Chrompet, Chennai, Tamil Nadu, India - 342183",2024-06-18,0,Italian,23,4.96
121,Atharv Upadhyay,jshetty@example.org,+913344740564,"Chada Marg, T. Nagar, Chennai, Tamil Nadu, India - 196037",2021-04-27,0,Continental,33,0.45
122,Damini Mann,ebassi@example.com,+917155486646,"Kalla Ganj, Perungudi, Chennai, Tamil Nadu, India - 881245",2025-01-27,0,Italian,81,1.49
123,Isaiah Lad,praj@example.org,0697640810,"Mistry Circle, Perungudi, Chennai, Tamil Nadu, India - 801435",2020-07-12,1,North Indian,14,2.51
124,Anirudh Mand,shivansh46@example.com,+914689168937,"Cheema Path, Nungambakkam, Chennai, Tamil Nadu, India - 974862",2021-12-21,0,North Indian,78,3.09
125,Anthony Borah,gyadav@example.org,+914160412765,"Dutta Street, Velachery, Chennai, Tamil Nadu, India - 238893",2022-08-06,1,South Indian,100,2.24
126,Oviya Madan,edhingra@example.org,+916773880895,"Muni Marg, Nungambakkam, Chennai, Tamil Nadu, India - 471522",2025-04-22,0,Chinese,50,0.65
127,Victor Mitra,majumdargautam@example.com,08465664092,"Kala Ganj, Perungudi, Chennai, Tamil Nadu, India - 856245",2025-02-04,0,South Indian,78,2.29
128,Orinder Chakrabarti,patrickrattan@example.net,0305185870,"Grover Street, Adyar, Chennai, Tamil Nadu, India - 157693",2021-02-08,1,Italian,2,1.39
129,Bhavika Bobal,krish37@example.net,+917948257285,"Chaudry Circle, Tambaram, Chennai, Tamil Nadu, India - 893231",2023-08-16,0,Chinese,55,2.60
130,Parth Kurian,jatinkaur@example.net,+916853234541,"Andra Path, Adyar, Chennai, Tamil Nadu, India - 791786",2025-04-06,1,North Indian,10,3.45
131,Henry Kala,tchokshi@example.net,2595404914,"Bhatnagar Zila, Guindy, Chennai, Tamil Nadu, India - 515236",2025-05-28,1,Chinese,78,2.13
132,Krish Bhandari,ayushmangoda@example.org,07763031778,"Warrior Nagar, Mylapore, Chennai, Tamil Nadu, India - 996910",2024-12-18,0,Continental,17,0.10
133,Lohit Pradhan,dasyagnesh@example.net,09235504606,"Sankaran Zila, Tambaram, Chennai, Tamil Nadu, India - 799179",2024-06-03,1,North Indian,19,4.01
134,Aarush Toor,nitaravig@example.org,07317223770,"Bava Circle, Anna Nagar, Chennai, Tamil Nadu, India - 472707",2023-05-10,1,Italian,50,0.90
135,Jagrati Thakur,chaudharigeetika@example.com,+914342309273,"Gokhale Zila, Perungudi, Chennai, Tamil Nadu, India - 440234",2023-08-06,1,North Indian,72,4.72
136,Ekani Pillai,robert07@example.org,5571902054,"Kanda Street, T. Nagar, Chennai, Tamil Nadu, India - 369495",2020-12-15,1,Italian,20,0.26
137,Chaaya Bhatti,agastyachandra@example.com,+916211068190,"Sen Path, Chrompet, Chennai, Tamil Nadu, India - 049362",2025-07-06,0,South Indian,27,1.23
138,Jackson Goel,vgulati@example.com,09846642244,"Narayan Chowk, Chrompet, Chennai, Tamil Nadu, India - 528857",2023-03-20,1,Continental,61,3.23
139,Samaksh Murty,jradhakrishnan@example.com,5765534749,"Deshpande Path, Kodambakkam, Chennai, Tamil Nadu, India - 379417",2023-10-22,0,South Indian,97,2.82
140,Mahika Raj,elijah39@example.net,7160761894,"Panchal Ganj, Mylapore, Chennai, Tamil Nadu, India - 358656",2024-12-01,0,Chinese,27,3.21
141,Girik Iyer,pratyushmane@example.org,8992726023,"Nagar Zila, Nungambakkam, Chennai, Tamil Nadu, India - 999695",2023-07-16,1,South Indian,6,2.42
142,Gunbir Vaidya,periryan@example.com,2484660136,"Oommen, Velachery, Chennai, Tamil Nadu, India - 672070",2023-06-29,0,Italian,46,3.51
143,Chanchal Patla,lipikachaudhuri@example.org,4609480620,"Ramanathan Chowk, Velachery, Chennai, Tamil Nadu, India - 075771",2025-06-27,0,Continental,30,0.83
144,Mekhala Mohan,faraj94@example.org,04111297853,"Dar Chowk, T. Nagar, Chennai, Tamil Nadu, India - 174275",2024-10-14,1,North Indian,75,2.52
145,Samesh Shanker,choudharyadvay@example.org,03846506042,"Parmar Road, Chrompet, Chennai, Tamil Nadu, India - 921419",2022-08-22,1,South Indian,38,1.20
146,Xiti Lanka,hmodi@example.org,4882517177,"Mann Street, Kodambakkam, Chennai, Tamil Nadu, India - 155171",2020-03-17,0,South Indian,89,2.72
147,Nandini Thaman,mananarya@example.net,05786708718,"Dass Nagar, Tambaram, Chennai, Tamil Nadu, India - 197774",2021-11-18,1,North Indian,82,0.53
148,Pallavi Deep,ode@example.net,6178191579,"Kapur Circle, Anna Nagar, Chennai, Tamil Nadu, India - 028742",2020-03-11,1,Italian,57,0.01
149,Faraj Gole,zansidatta@example.net,04187147922,"Bhandari Road, Velachery, Chennai, Tamil Nadu, India - 127985",2020-07-17,0,North Indian,59,0.82
150,Jack Bhalla,madanrayaan@example.com,9299823538,"Dhar Path, Anna Nagar, Chennai, Tamil Nadu, India - 716707",2025-02-08,0,South Indian,30,2.31
151,Baghyawati Hayre,baljiwan24@example.com,+919995751036,"Bobal, Adyar, Chennai, Tamil Nadu, India - 924715",2022-03-14,0,Continental,80,1.05
152,Priya Chopra,jaimorar@example.net,9669608879,"Kara Circle, Kilpauk, Chennai, Tamil Nadu, India - 315084",2020-05-24,0,North Indian,18,0.69
153,Lavanya Narula,sawhneyfalan@example.net,8649479264,"Naidu Street, Perungudi, Chennai, Tamil Nadu, India - 697344",2021-07-01,0,South Indian,68,2.97
154,Nidra Sane,gabrielmittal@example.com,6099529738,"Bhandari Marg, Kilpauk, Chennai, Tamil Nadu, India - 864187",2023-06-01,0,South Indian,72,2.40
155,Indrajit Setty,isha37@example.org,+911133598197,"Nori Marg, Nungambakkam, Chennai, Tamil Nadu, India - 653420",2020-01-09,1,South Indian,54,3.58
156,Manbir Bail,diptakala@example.org,4272279318,"Mitra Path, T. Nagar, Chennai, Tamil Nadu, India - 151497",2020-01-30,1,Italian,8,1.58
157,Naveen Bobal,veer58@example.net,06110104842,"Viswanathan Ganj, Anna Nagar, Chennai, Tamil Nadu, India - 526734",2024-05-06,1,North Indian,3,2.37
158,Ojasvi Bandi,yutikasandal@example.com,4748561176,"Vyas Road, Velachery, Chennai, Tamil Nadu, India - 744630",2024-11-01,1,Italian,17,4.46
159,Neel Chakrabarti,arinmemon@example.com,3955794342,"Sarma Circle, Perungudi, Chennai, Tamil Nadu, India - 012917",2024-04-09,1,North Indian,66,3.91
160,Watika Narain,upma52@example.net,4732332183,"Babu Ganj, Tambaram, Chennai, Tamil Nadu, India - 171791",2024-06-22,0,Italian,75,3.98
161,Vedika Thakkar,aayushshan@example.net,+917484879907,"Konda Street, Guindy, Chennai, Tamil Nadu, India - 630252",2020-02-04,1,South Indian,28,1.58
162,Januja Palla,balasubramaniannaveen@example.com,06002797708,"Bhandari Nagar, Adyar, Chennai, Tamil Nadu, India - 850281",2024-11-07,0,Italian,53,4.97
163,Chaaya Magar,mitterchandani@example.net,6157010229,"Dada Ganj, Chrompet, Chennai, Tamil Nadu, India - 410924",2024-10-31,1,North Indian,11,1.25
164,Anusha Varughese,jatinsura@example.com,7025096786,"Bora Street, Guindy, Chennai, Tamil Nadu, India - 071373",2022-12-16,0,South Indian,20,4.10
165,Zashil Tara,gandhiakshay@example.com,0194436485,"Choudhry Road, Perungudi, Chennai, Tamil Nadu, India - 699983",2021-06-13,1,Chinese,21,4.64
166,Mohini Venkataraman,warhimittal@example.net,+917295315901,"Thaker Street, Adyar, Chennai, Tamil Nadu, India - 278382",2022-12-25,0,Continental,97,1.74
167,Samarth Sandal,dalbir62@example.net,+912954737450,"Prabhakar Chowk, Guindy, Chennai, Tamil Nadu, India - 645347",2020-05-06,0,Italian,55,0.02
168,Daksha Sood,dugalpooja@example.com,8940793519,"Ben Ganj, Anna Nagar, Chennai, Tamil Nadu, India - 216322",2021-09-05,1,North Indian,74,2.76
169,Thomas Batta,hmahajan@example.net,+910645303429,"Barad Path, Chrompet, Chennai, Tamil Nadu, India - 602997",2020-04-23,1,South Indian,47,3.31
170,Vanya Goda,sachimani@example.org,4751435346,"Datta Circle, Chrompet, Chennai, Tamil Nadu, India - 489256",2023-08-07,0,Continental,22,0.61
171,Aryan Palla,masterowen@example.org,09623105297,"Palla Nagar, Kodambakkam, Chennai, Tamil Nadu, India - 624438",2024-06-21,0,North Indian,94,4.59
