delivery_person_id,name,contact_number,vehicle_type,total_deliveries,average_rating,location
90,Ayaan Dar,6115891878,Electric Bike,118,2.82,"Sridhar Street, Kilpauk, Chennai, Tamil Nadu, India - 171085"
91,Lakshmi Gour,05119826494,Motorcycle,20,2.54,"Nath Zila, Kodambakkam, Chennai, Tamil Nadu, India - 691296"
92,Alexander Koshy,2377247231,Motorcycle,294,1.67,"Agate Road, Chrompet, Chennai, Tamil Nadu, India - 865444"
93,Omkaar Kar,02095525889,Electric Scooter,135,3.60,"Manda Street, T. Nagar, Chennai, Tamil Nadu, India - 027116"
94,Aarush Tripathi,+911251378088,Electric Bike,209,0.13,"Sood Path, T. Nagar, Chennai, Tamil Nadu, India - 868526"
95,Chandresh Raman,+917967466165,Electric Bike,94,3.39,"Basak Ganj, Adyar, Chennai, Tamil Nadu, India - 285142"
96,Krisha Din,+913959862290,Moped,58,4.76,"Kamdar Marg, Guindy, Chennai, Tamil Nadu, India - 124341"
97,Jeevika Char,+911776283795,Scooter,300,3.89,"Contractor Road, Mylapore, Chennai, Tamil Nadu, India - 140556"
98,Ekanta Dani,05786564494,Motorcycle,297,1.33,"Shetty Road, Velachery, Chennai, Tamil Nadu, India - 379951"
99,Omisha Sangha,+917100842230,Scooter,36,3.09,"Manda Road, Kilpauk, Chennai, Tamil Nadu, India - 218967"
100,Gaurangi Mani,0479082397,Bike,232,0.90,"Chaudry Ganj, Guindy, Chennai, Tamil Nadu, India - 071899"
101,Ishwar Pillai,05119617429,Motorcycle,120,4.27,"Singh Street, Nungambakkam, Chennai, Tamil Nadu, India - 915340"
102,Kritika Edwin,04376879387,Electric Bike,285,4.39,"Jain Circle, Anna Nagar, Chennai, Tamil Nadu, India - 049637"
103,Wishi Subramaniam,06777199487,Scooter,142,3.68,"Oommen Marg, Tambaram, Chennai, Tamil Nadu, India - 726889"
104,Simon Ray,8676628178,Electric Scooter,137,4.73,"Walla Ganj, T. Nagar, Chennai, Tamil Nadu, India - 455021"
105,Vivaan Shankar,6424187828,Electric Bike,201,0.64,"Ramakrishnan, Chrompet, Chennai, Tamil Nadu, India - 657189"
106,Vasana Vaidya,00661970136,Moped,262,3.46,"Balasubramanian Path, Perungudi, Chennai, Tamil Nadu, India - 929470"
107,Gabriel Sharaf,+913805587080,Scooter,298,4.14,"Magar Street, Tambaram, Chennai, Tamil Nadu, India - 514409"
108,Aryan Bajaj,0393378033,Scooter,223,1.61,"Madan Circle, Anna Nagar, Chennai, Tamil Nadu, India - 171410"
109,Aahana Char,+918989537568,Scooter,71,3.56,"Chaudhuri Nagar, Kodambakkam, Chennai, Tamil Nadu, India - 693865"
110,Irya Taneja,+917451876169,Scooter,83,2.03,"Sule Ganj, Velachery, Chennai, Tamil Nadu, India - 760759"
111,Chakradhar Basu,+917101091160,Electric Scooter,232,4.85,"Hari Street, Mylapore, Chennai, Tamil Nadu, India - 300290"
112,Chandresh Bakshi,08202343567,Scooter,280,0.72,"Ghosh Street, Anna Nagar, Chennai, Tamil Nadu, India - 072041"
113,Kala Shere,08976609958,Motorcycle,203,3.19,"Ram Ganj, Tambaram, Chennai, Tamil Nadu, India - 033508"
114,Jacob Suri,+917574439920,Electric Bike,90,4.58,"Sibal Circle, Chrompet, Chennai, Tamil Nadu, India - 181036"
115,Forum Boase,+919023299457,Electric Scooter,177,1.29,"Kunda Zila, Chrompet, Chennai, Tamil Nadu, India - 239919"
116,Amaira Mohanty,+918011533398,Electric Bike,157,4.77,"Sha Marg, Kilpauk, Chennai, Tamil Nadu, India - 802326"
117,Baljiwan Uppal,4530069082,Motorcycle,47,4.46,"Parmer Chowk, Kilpauk, Chennai, Tamil Nadu, India - 716857"
118,Fiyaz Nayar,+915097500100,Electric Scooter,168,3.69,"Shankar Marg, Perungudi, Chennai, Tamil Nadu, India - 694125"
119,Arjun Chaudhari,+910854781391,Electric Bike,228,4.70,"Mangat Street, Perungudi, Chennai, Tamil Nadu, India - 820964"
120,Aryan Narayan,09463332128,Electric Bike,218,4.26,"Som Road, Tambaram, Chennai, Tamil Nadu, India - 023892"
121,Yasti Hari,2438202630,Electric Scooter,154,0.46,"Sehgal Path, Kodambakkam, Chennai, Tamil Nadu, India - 707620"
122,Jyoti Mohan,+913051195745,Electric Bike,264,2.66,"Ghosh Ganj, Mylapore, Chennai, Tamil Nadu, India - 907417"
123,Chasmum Gole,+910157190527,Moped,246,1.85,"Jani Marg, Anna Nagar, Chennai, Tamil Nadu, India - 210691"
124,Rachita Narula,2177173112,Scooter,236,1.58,"Koshy Circle, Kilpauk, Chennai, Tamil Nadu, India - 670695"
125,Ryan Soman,08481356117,Bike,182,2.32,"Barman Marg, Perungudi, Chennai, Tamil Nadu, India - 647166"
126,Hritik Toor,0622595381,Electric Scooter,262,0.23,"Tandon Marg, Kodambakkam, Chennai, Tamil Nadu, India - 187368"
127,Yoshita Yohannan,+910865126048,Electric Bike,188,2.28,"Saran, Velachery, Chennai, Tamil Nadu, India - 221352"
128,Mohini Sood,0822847907,Moped,170,0.71,"Babu Path, Guindy, Chennai, Tamil Nadu, India - 616158"
129,Hamsini Sen,8860923441,Scooter,52,1.19,"Sem Path, Adyar, Chennai, Tamil Nadu, India - 486135"
130,Balendra Ahluwalia,1761321596,Scooter,245,3.96,"Konda Path, Chrompet, Chennai, Tamil Nadu, India - 103694"
131,Deepa Madan,7804641940,Motorcycle,157,4.13,"Sheth Marg, Guindy, Chennai, Tamil Nadu, India - 132397"
132,Ishaan Sarkar,+912525361284,Moped,250,0.57,"Sehgal Nagar, Chrompet, Chennai, Tamil Nadu, India - 845880"
133,Mekhala Krish,02373552358,Bike,252,0.31,"Chadha Ganj, Adyar, Chennai, Tamil Nadu, India - 163922"
134,Kevin Lad,0036690873,Bike,103,3.71,"Kumar Marg, Kodambakkam, Chennai, Tamil Nadu, India - 052420"
135,Ishwar Gole,07855732400,Electric Scooter,203,2.11,"Lad Path, Mylapore, Chennai, Tamil Nadu, India - 976784"
136,Eiravati Malhotra,+910024259796,Scooter,89,1.75,"Sangha Street, Anna Nagar, Chennai, Tamil Nadu, India - 623763"
137,Yamini Shere,9899328733,Electric Bike,187,0.78,"Dhawan, Guindy, Chennai, Tamil Nadu, India - 372137"
138,Alexander Prabhakar,+914684726891,Bike,173,2.67,"Kakar Circle, Tambaram, Chennai, Tamil Nadu, India - 677488"
139,Gautami Bhat,+915378186355,Motorcycle,12,1.72,"Saran, Tambaram, Chennai, Tamil Nadu, India - 992701"
140,Jeremiah Bhardwaj,+915998793175,Scooter,102,0.37,"Memon Marg, Nungambakkam, Chennai, Tamil Nadu, India - 508384"
141,Theodore Bakshi,07302623406,Electric Scooter,225,3.10,"Rana Zila, Anna Nagar, Chennai, Tamil Nadu, India - 648930"
142,Hemani Kala,08764036043,Bike,46,3.77,"Karpe Marg, Nungambakkam, Chennai, Tamil Nadu, India - 631828"
143,Netra Dewan,05815438790,Scooter,168,0.34,"Kari Circle, Chrompet, Chennai, Tamil Nadu, India - 394378"
144,Hemal Mannan,08237009042,Bike,49,1.49,"Kapoor Marg, T. Nagar, Chennai, Tamil Nadu, India - 395689"
145,Indrajit Ganesh,4351513669,Moped,145,3.53,"Khosla, Kodambakkam, Chennai, Tamil Nadu, India - 585372"
146,Umang Nadig,3289441815,Moped,48,3.87,"Muni Path, Mylapore, Chennai, Tamil Nadu, India - 642583"
147,Hardik Kala,07413009518,Bike,180,0.21,"Datta Zila, T. Nagar, Chennai, Tamil Nadu, India - 497702"
148,Urmi Maharaj,07569260980,Bike,259,1.27,"Mahal Zila, Perungudi, Chennai, Tamil Nadu, India - 952779"
149,Chameli Ganesan,+914552059482,Electric Bike,243,4.31,"Bakshi Nagar, Perungudi, Chennai, Tamil Nadu, India - 465503"
150,Vrishti Kapur,0555074166,Electric Scooter,127,2.59,"Kumar Circle, Tambaram, Chennai, Tamil Nadu, India - 211437"
151,Onveer Jaggi,05657168824,Motorcycle,255,1.72,"Merchant Ganj, Anna Nagar, Chennai, Tamil Nadu, India - 681123"
152,Upkaar Bedi,+917282037415,Moped,231,3.59,"Purohit Ganj, Velachery, Chennai, Tamil Nadu, India - 451842"
153,Abeer Krish,+912712331258,Moped,68,0.19,"Boase Chowk, Adyar, Chennai, Tamil Nadu, India - 989918"
154,Anita Dani,1675003495,Motorcycle,223,3.98,"Batra Chowk, Kodambakkam, Chennai, Tamil Nadu, India - 033352"
155,Chandani Palan,+915574486104,Bike,40,2.80,"Arora Chowk, Guindy, Chennai, Tamil Nadu, India - 243421"
156,Nitara Sethi,05050117923,Bike,300,0.84,"Ray Ganj, Adyar, Chennai, Tamil Nadu, India - 348638"
157,Hemang Guha,+915118347335,Scooter,43,0.02,"Mahajan Road, T. Nagar, Chennai, Tamil Nadu, India - 653950"
158,Ati Raghavan,0081014344,Scooter,19,1.43,"Mani Path, Kilpauk, Chennai, Tamil Nadu, India - 598911"
159,Jagvi Boase,04969552403,Scooter,134,3.06,"Zachariah Chowk, Kilpauk, Chennai, Tamil Nadu, India - 795094"
160,Omaja Sawhney,+910741855755,Bike,66,1.96,"Bobal Street, Adyar, Chennai, Tamil Nadu, India - 002685"
161,Umang Jani,+918110311957,Electric Bike,225,1.84,"Narasimhan Circle, Chrompet, Chennai, Tamil Nadu, India - 787676"
162,Krish Dani,9771366383,Electric Scooter,257,3.30,"Bose Marg, Chrompet, Chennai, Tamil Nadu, India - 581718"
163,Jason Dube,06845203757,Moped,59,4.62,"Rama Circle, Mylapore, Chennai, Tamil Nadu, India - 787874"
164,Faraj Thakur,+919717245000,Electric Bike,107,3.93,"Bandi Nagar, Guindy, Chennai, Tamil Nadu, India - 051948"
165,Suhani Boase,05906219936,Electric Bike,136,2.11,"Barman Road, Tambaram, Chennai, Tamil Nadu, India - 568411"
166,Naksh Raval,00703041116,Bike,186,3.32,"Tailor Nagar, Kilpauk, Chennai, Tamil Nadu, India - 754215"
167,Balendra Batra,01944386848,Moped,246,0.98,"Devi Chowk, Velachery, Chennai, Tamil Nadu, India - 172925"
168,Jonathan Thakur,+913969929931,Moped,95,4.85,"Singh Chowk, Adyar, Chennai, Tamil Nadu, India - 565166"
169,Varsha Bhatt,+911620409016,Electric Scooter,197,2.18,"Brar Zila, Nungambakkam, Chennai, Tamil Nadu, India - 222480"
170,Chatura Koshy,+919651315597,Moped,209,0.06,"Bhatt Road, Kilpauk, Chennai, Tamil Nadu, India - 551911"
171,Hamsini Din,7654108371,Electric Bike,236,1.76,"Loke Path, Guindy, Chennai, Tamil Nadu, India - 585409"
172,Zarna Bhattacharyya,+914782183696,Moped,153,4.81,"Soman Street, Chrompet, Chennai, Tamil Nadu, India - 646224"
173,Dhruv Shere,0400608161,Moped,248,3.16,"Dhar Marg, T. Nagar, Chennai, Tamil Nadu, India - 248358"
174,Daniel Pau,5189837291,Electric Bike,25,2.03,"Sandal Street, Anna Nagar, Chennai, Tamil Nadu, India - 217541"
175,Pranit Batra,7025090444,Motorcycle,89,0.50,"Dhawan, Kilpauk, Chennai, Tamil Nadu, India - 943398"
176,Meera Panchal,+910316924756,Electric Bike,185,0.97,"Saran Road, Guindy, Chennai, Tamil Nadu, India - 261867"
177,Benjamin Saha,0292246703,Electric Scooter,219,1.38,"Narain Circle, T. Nagar, Chennai, Tamil Nadu, India - 373509"
178,Abhimanyu Sibal,00556682010,Moped,91,4.79,"Kurian Road, Perungudi, Chennai, Tamil Nadu, India - 610146"
179,Hamsini Wali,8403542809,Moped,278,1.05,"Dora Path, Perungudi, Chennai, Tamil Nadu, India - 306408"
180,Ekani Aggarwal,4454185358,Electric Scooter,220,2.84,"Chakrabarti Road, Tambaram, Chennai, Tamil Nadu, India - 061259"
181,Bimala Palla,+916766184199,Scooter,163,0.20,"Vohra Circle, Mylapore, Chennai, Tamil Nadu, India - 429685"
182,Ekta Chanda,+910539725362,Electric Scooter,134,4.44,"Deol Street, Nungambakkam, Chennai, Tamil Nadu, India - 538961"
183,Meera Parmar,+919621564885,Electric Scooter,12,2.46,"Vasa Path, Perungudi, Chennai, Tamil Nadu, India - 828713"
184,Omkaar Parmar,+910484588990,Motorcycle,70,0.77,"Bakshi Marg, T. Nagar, Chennai, Tamil Nadu, India - 904012"
185,Champak Ghose,+910831092010,Moped,137,3.42,"Bala, Guindy, Chennai, Tamil Nadu, India - 302623"
186,Dayamai Rattan,02452033227,Motorcycle,174,1.94,"Bera Ganj, Velachery, Chennai, Tamil Nadu, India - 952896"
187,Ronith Shetty,04547359828,Electric Bike,55,3.71,"Krishna Path, Tambaram, Chennai, Tamil Nadu, India - 951613"
188,Panini Cheema,01920977612,Electric Scooter,168,1.18,"Vala Ganj, Chrompet, Chennai, Tamil Nadu, India - 338404"
189,Ridhi Tara,7375167685,Electric Bike,1,2.00,"Natt Road, Mylapore, Chennai, Tamil Nadu, India - 708520"
190,Ridhi Barman,03435008812,Motorcycle,48,2.15,"Jaggi Street, Tambaram, Chennai, Tamil Nadu, India - 202278"
191,Ishanvi Saran,+910966764366,Bike,173,4.14,"Dutt Road, Anna Nagar, Chennai, Tamil Nadu, India - 266019"
192,Warda Tata,05976764218,Electric Bike,18,0.24,"Talwar, Nungambakkam, Chennai, Tamil Nadu, India - 861684"
193,Omya Arya,8809336230,Electric Bike,48,0.22,"Tank Nagar, Nungambakkam, Chennai, Tamil Nadu, India - 123842"
194,Zayan Bahl,7622092137,Electric Scooter,285,3.49,"Suresh Marg, T. Nagar, Chennai, Tamil Nadu, India - 902207"
195,Oeshi Dayal,7052704376,Bike,216,0.92,"Mannan Ganj, Guindy, Chennai, Tamil Nadu, India - 110247"
196,Falan Pillay,+918121077713,Moped,240,3.15,"Dara Path, T. Nagar, Chennai, Tamil Nadu, India - 324283"
197,Viraj Krishnamurthy,6474448845,Electric Scooter,69,3.63,"Bora Street, Velachery, Chennai, Tamil Nadu, India - 464277"
198,Warhi Bhandari,8205873436,Moped,236,0.71,"Kumer Circle, Anna Nagar, Chennai, Tamil Nadu, India - 367730"
199,Ikbal Kar,00879351072,Motorcycle,137,1.85,"Seth Chowk, Nungambakkam, Chennai, Tamil Nadu, India - 638293"
200,Ekanta Konda,9739124708,Bike,83,0.38,"Sarna Marg, Chrompet, Chennai, Tamil Nadu, India - 333689"
201,Keya Krish,+913006047567,Scooter,96,0.90,"Morar, Mylapore, Chennai, Tamil Nadu, India - 875365"
202,Ria Doctor,+911388142339,Motorcycle,5,0.60,"Kapadia Chowk, Nungambakkam, Chennai, Tamil Nadu, India - 206381"
203,Reva Bera,+910742056824,Moped,7,0.98,"Dar Chowk, Perungudi, Chennai, Tamil Nadu, India - 328126"
204,Yashvi Ratti,9814109578,Electric Bike,54,1.19,"Borah Path, Perungudi, Chennai, Tamil Nadu, India - 924679"
205,Dipta Tank,01107502425,Bike,105,0.71,"Mitter Zila, Perungudi, Chennai, Tamil Nadu, India - 892262"
206,Ikbal Jayaraman,4988631732,Bike,188,2.04,"Sandal Nagar, Anna Nagar, Chennai, Tamil Nadu, India - 060313"
207,Omisha Patil,+915023777229,Moped,19,2.31,"Vaidya Chowk, Kilpauk, Chennai, Tamil Nadu, India - 032435"
208,Adweta Reddy,8837557222,Motorcycle,201,1.17,"Vala Chowk, Mylapore, Chennai, Tamil Nadu, India - 929960"
209,Vihaan Nagi,+916408192593,Scooter,12,2.27,"Raju Ganj, Adyar, Chennai, Tamil Nadu, India - 878792"
210,Vedhika Lad,02058421815,Electric Bike,49,4.14,"Sami Street, Kodambakkam, Chennai, Tamil Nadu, India - 266525"
211,Gaurang Chander,09507748327,Motorcycle,10,3.95,"Varghese Street, Adyar, Chennai, Tamil Nadu, India - 800182"
212,Xavier Rege,03996788969,Scooter,177,0.37,"Jayaraman Ganj, Tambaram, Chennai, Tamil Nadu, India - 532012"
213,Rayaan Pal,+916456395311,Electric Bike,242,3.39,"Bose Marg, T. Nagar, Chennai, Tamil Nadu, India - 848358"
214,Arin Pathak,+919608277955,Electric Bike,266,0.79,"Rastogi Nagar, Kilpauk, Chennai, Tamil Nadu, India - 985574"
215,Nathaniel Comar,01589586778,Moped,29,2.56,"Mahal Road, Nungambakkam, Chennai, Tamil Nadu, India - 435325"
216,Laban Deep,+919409999451,Moped,108,3.41,"Dyal Path, Chrompet, Chennai, Tamil Nadu, India - 261157"
